9 25
0 7020 25
0 7021 25
0 7022 26
0 7023 26
0 7024 26
0 7025 26
0 7026 25
0 7027 25
0 7028 25
0 7029 25
0 7030 25
0 7031 25
0 7 2389 25
0 2390 26
0 2391 26
0 2392 25
0 2393 26
0 2394 25
0 2395 25
0 2396 26
0 2397 26
0 2398 26
0 2399 26
0 2400 26
0 2401 26
0 2402 25
0 2403 26
0 2404 25
0 2405 25
0 2406 25
0 2407 25
0 2408 26
0 2409 26
0 2410 26
0 2411 25
0 2412 25
0 2413 26
0 2414 25
0 2415 26
0 2416 26
0 2417 26
0 2418 26
0 2419 26
0 2420 26
0 2421 26
0 2422 26
0 2423 26
0 2424 26
0 2425 26
0 2426 26
0 2427 26
0 2428 26
0 2429 26
0 2430 26
0 2431 25
0 2432 25
0 2433 26
0 2434 25
0 2435 25
0 2436 26
0 2437 26
0 2438 26
0 2439 26
0 2440 26
0 2441 26
0 2442 26
0 2443 25
0 2444 25
0 2445 25
0 2446 25
0 2447 25
0 2448 26
0 2449 26
0 2450 26
0 2451 25
0 2452 25
0 2453 26
0 2454 25
0 2455 25
0 2456 26
0 2457 26
0 2458 26
0 2459 26
0 2460 26
0 2461 26
0 2462 25
0 2463 25
0 2464 25
0 2465 25
0 2466 25
0 2467 25
0 2468 25
0 2469 26
0 2470 26
0 2471 25
0 2472 25
0 2473 26
0 2474 25
0 2475 25
0 2476 26
0 2477 26
0 2478 26
0 2479 26
0 2480 26
0 2481 26
0 2482 25
0 2483 25
0 2484 25
0 2485 25
0 2486 25
0 2487 25
0 2488 26
0 2489 26
0 2490 26
0 2491 25
0 2492 25
0 2493 26
0 2494 25
0 2495 25
0 2496 26
0 2497 26
0 2498 26
0 2499 26
0 2500 26
0 2501 26
0 2502 26
0 2503 25
0 2504 26
0 2505 26
0 2506 26
0 2507 26
0 2508 26
0 2509 26
0 2510 26
0 2511 25
0 2512 26
0 2513 25
0 2514 26
0 2515 26
0 2516 26
0 2517 26
0 2518 26
0 2519 26
0 2520 25
0 2521 26
0 2522 26
0 2523 26
0 2524 26
0 2525 26
0 2526 26
0 2527 26
0 2528 26
0 2529 26
0 2530 26
0 2531 25
0 2532 26
0 2533 25
0 2534 25
0 2535 26
0 2536 26
0 2537 26
